Year,Season,NOC,Athlets,Medals,Gold,Silver,Bronze
1960,Summer,ESP,238,0.015367727771679473,0.0,0.0,0.045454545454545456
1960,Summer,ETH,15,0.0010976948408342481,0.003236245954692557,0.0,0.0
1960,Summer,FIJ,3,0.0,0.0,0.0,0.0
1960,Summer,FIN,219,0.006586169045005488,0.003236245954692557,0.003401360544217687,0.012987012987012988
1960,Summer,FRA,363,0.013172338090010977,0.0,0.02040816326530612,0.01948051948051948
1960,Summer,GBR,389,0.030735455543358946,0.006472491909385114,0.03741496598639456,0.048701298701298704
1960,Summer,GER,425,0.09769484083424808,0.11003236245954692,0.11224489795918367,0.07142857142857142
1960,Summer,GHA,15,0.0010976948408342481,0.0,0.003401360544217687,0.0
1960,Summer,GRE,59,0.003293084522502744,0.009708737864077669,0.0,0.0
1960,Summer,GUY,6,0.0,0.0,0.0,0.0
1960,Summer,HAI,1,0.0,0.0,0.0,0.0
1960,Summer,HKG,4,0.0,0.0,0.0,0.0
1960,Summer,HUN,312,0.07244785949506037,0.042071197411003236,0.05442176870748299,0.12012987012987013
1960,Summer,INA,27,0.0,0.0,0.0,0.0
1960,Summer,IND,49,0.014270032930845226,0.0,0.04421768707482993,0.0
1960,Summer,IRI,24,0.0043907793633369925,0.0,0.003401360544217687,0.00974025974025974
1960,Summer,IRL,63,0.0,0.0,0.0,0.0
1960,Summer,IRQ,28,0.0010976948408342481,0.0,0.0,0.003246753246753247
1960,Summer,ISL,11,0.0,0.0,0.0,0.0
1960,Summer,ISR,46,0.0,0.0,0.0,0.0
1960,Summer,ITA,402,0.09659714599341383,0.11650485436893204,0.061224489795918366,0.11038961038961038
1960,Summer,JPN,278,0.03402854006586169,0.02912621359223301,0.034013605442176874,0.03896103896103896
1960,Summer,KEN,30,0.0,0.0,0.0,0.0
1960,Summer,KOR,49,0.0,0.0,0.0,0.0
1960,Summer,LBR,6,0.0,0.0,0.0,0.0
1960,Summer,LIB,22,0.0,0.0,0.0,0.0
1960,Summer,LIE,8,0.0,0.0,0.0,0.0
1960,Summer,LUX,117,0.0,0.0,0.0,0.0
1960,Summer,MAL,11,0.0,0.0,0.0,0.0
1960,Summer,MAR,111,0.0010976948408342481,0.0,0.003401360544217687,0.0
1960,Summer,MEX,110,0.0010976948408342481,0.0,0.0,0.003246753246753247
1960,Summer,MLT,13,0.0,0.0,0.0,0.0
1960,Summer,MON,13,0.0,0.0,0.0,0.0
1960,Summer,MYA,10,0.0,0.0,0.0,0.0
1960,Summer,NED,160,0.003293084522502744,0.0,0.003401360544217687,0.006493506493506494
1960,Summer,NGR,15,0.0,0.0,0.0,0.0
1960,Summer,NOR,50,0.0021953896816684962,0.006472491909385114,0.0,0.0
1960,Summer,NZL,47,0.003293084522502744,0.006472491909385114,0.0,0.003246753246753247
1960,Summer,PAK,53,0.015367727771679473,0.042071197411003236,0.0,0.003246753246753247
1960,Summer,PAN,8,0.0,0.0,0.0,0.0
1960,Summer,PER,33,0.0,0.0,0.0,0.0
1960,Summer,PHI,49,0.0,0.0,0.0,0.0
1960,Summer,POL,307,0.03293084522502744,0.012944983818770227,0.03741496598639456,0.048701298701298704
1960,Summer,POR,109,0.0021953896816684962,0.0,0.006802721088435374,0.0
1960,Summer,PUR,29,0.0,0.0,0.0,0.0
1960,Summer,RHO,12,0.0,0.0,0.0,0.0
1960,Summer,ROU,156,0.01646542261251372,0.009708737864077669,0.003401360544217687,0.03571428571428571
1960,Summer,RSA,72,0.003293084522502744,0.0,0.003401360544217687,0.006493506493506494
1960,Summer,SGP,5,0.0010976948408342481,0.0,0.003401360544217687,0.0
1960,Summer,SMR,13,0.0,0.0,0.0,0.0
1960,Summer,SRI,5,0.0,0.0,0.0,0.0
1960,Summer,SUD,13,0.0,0.0,0.0,0.0
1960,Summer,SUI,221,0.013172338090010977,0.0,0.02040816326530612,0.01948051948051948
